browser,city,country,device,element_id,event_id,event_type,ip_address,page,product_id,quantity,search_query,session_id,timestamp,user_id
Chrome,Port Alejandrotown,RW,tablet,,141035c5-a0ae-436b-8382-a11a5b9141d7,remove_from_cart,184.168.182.243,profile,PROD_2249,2,,c70173a2-cf0,2026-01-19T17:38:54.523789Z,cd7ebe52
Firefox,Andradestad,PT,mobile,,815bfaa9-41a7-461b-a3d6-9c611001d725,page_view,121.79.53.240,cart,,,,58898088-05e,2026-01-19T17:38:54.527330Z,e41d2750
Edge,West Meghanland,WS,tablet,,7c470c9a-62e0-49c6-8803-8adde0998780,search,176.209.114.105,help,,,blood,bd8aec62-8a3,2026-01-19T17:38:54.532062Z,c668f1fb
Safari,Lake Anthony,GR,tablet,,234ac8b9-fb62-4906-b6f6-31eabc4f8a3d,add_to_cart,18.80.30.147,products,PROD_1653,3,,6c34a52f-d7f,2026-01-19T17:38:54.547711Z,1d56ec2e
Chrome,Aprilside,DM,desktop,,a9cac9fd-f2af-4e96-b302-8d7e4232eec4,add_to_cart,179.183.28.159,checkout,PROD_1314,3,,4b9de1ef-dff,2026-01-19T17:38:54.549399Z,53df219b
Safari,Walshside,TD,mobile,,4596bd20-2b86-49db-912b-b8fb22e20138,page_view,197.90.28.19,settings,,,,1077ecab-58e,2026-01-19T17:38:54.557305Z,4638aa3b
Safari,Morenohaven,CV,mobile,,5685e9df-dfef-414a-a4bb-214c2b95c8d9,login,222.10.41.31,profile,,,,5c1c2536-cea,2026-01-19T17:38:54.559354Z,3982940f
Chrome,Sydneyport,ZW,mobile,,5e280b06-4140-4448-9dc4-54192505565f,page_view,143.188.139.42,cart,,,,2890436b-50c,2026-01-19T17:38:54.573905Z,c4de2888
Firefox,Samanthaview,ZA,desktop,btn_western_2,04e34b31-d6d8-497e-8e6c-64f2535eb864,click,205.254.134.62,help,,,,5be9911e-4a4,2026-01-19T17:38:54.579880Z,21c91b0e
Firefox,Millermouth,MZ,tablet,,f29477ee-8c26-46fd-9b34-bb9be07c2611,login,24.207.11.228,home,,,,c9aaafa9-c6f,2026-01-19T17:38:54.589255Z,b7b9b8eb
Edge,East Laurenville,BR,tablet,,d2d6f1cf-bb34-4ebc-b6e1-e070228a1806,remove_from_cart,44.18.142.161,products,PROD_1257,3,,d2ba93c1-22f,2026-01-19T17:38:54.601403Z,aef2fec6
Chrome,West Kristophershire,SB,tablet,,084d8fe0-201e-4592-a561-d9143fe6cfc5,page_view,17.6.148.141,settings,,,,6e4dac2e-c64,2026-01-19T17:38:54.604325Z,9f81ffb7
Edge,Jeannemouth,SI,mobile,,1f06ee46-2c94-40ec-a34c-f98d818c0b35,remove_from_cart,5.103.188.146,product_detail,PROD_2310,3,,1b961a8a-26d,2026-01-19T17:38:54.611666Z,77b6f2ab
Edge,Tabithamouth,AT,mobile,,7c148b64-0ddb-4a44-b9a7-765dbca29802,search,94.144.107.229,help,,,pick,cc98658b-aae,2026-01-19T17:38:54.622182Z,b7b9b8eb
Edge,East Matthewmouth,ST,mobile,,9d93b8e4-d5f4-40f5-91a0-f03f0d709d4a,login,104.44.211.166,cart,,,,3828639a-9b5,2026-01-19T17:38:54.639584Z,7b327a15
Firefox,Lake Misty,MZ,tablet,,83d2aa3d-c680-4ddc-ae08-89050a2f70a6,search,206.126.186.105,products,,,record,89c50ada-449,2026-01-19T17:38:54.647118Z,3ca5e9d2
Edge,Mcclainton,MA,tablet,,5be3d3e6-b5a6-4eac-ba38-948ee9f586cb,search,153.236.230.117,home,,,across,3242f612-1b1,2026-01-19T17:38:54.651010Z,b1722085
Safari,Garciaville,TO,mobile,,b4879221-7794-474d-bd58-b7623338bfa9,page_view,126.198.51.96,home,,,,3689908c-a1f,2026-01-19T17:38:54.654188Z,c99ba352
Firefox,New Ronald,SZ,mobile,,2623eebb-c23d-44b8-ac76-2ea30e1a06e9,add_to_cart,223.143.21.20,home,PROD_1661,3,,50c95c0e-411,2026-01-19T17:38:54.673614Z,be94e7bc
Chrome,Yatesland,MH,tablet,,05661dd9-a97d-4b2a-841b-61557e3d09be,add_to_cart,168.145.97.179,product_detail,PROD_1795,5,,dcc3266e-6a9,2026-01-19T17:38:54.675939Z,5389d0fb
Edge,West Kimberly,MH,mobile,,6e991c9d-9680-4988-a5eb-0a80d39cc831,page_view,120.131.22.28,profile,,,,fc446023-443,2026-01-19T17:38:54.684099Z,6e35097c
Safari,North Haileybury,TN,mobile,,233f941e-f271-4eae-9f37-c62bb3ea98e8,add_to_cart,220.132.242.151,profile,PROD_1596,3,,170b5fe9-1f1,2026-01-19T17:38:54.704468Z,af7dcf05
Chrome,Walkerfort,BI,tablet,,86f20c1f-8cd7-46e6-a430-df493744ff3f,add_to_cart,76.193.235.228,help,PROD_2127,4,,646805b6-725,2026-01-19T17:38:54.714858Z,761ced97
Edge,Danielville,BE,mobile,,48aa9662-4be5-4f87-af4a-88b7ed86f169,add_to_cart,133.5.50.88,settings,PROD_2617,5,,b2557d0d-8c0,2026-01-19T17:38:54.718006Z,b186523a
Firefox,North Davidshire,IS,tablet,,882ed789-ced0-4693-8db7-35bf82382543,page_view,44.27.159.132,product_detail,,,,81d596ee-7ab,2026-01-19T17:38:54.731495Z,1b4b6d9f
Safari,Solisbury,WS,tablet,,d0cf1261-debd-4c10-b34b-93b9be78d1ff,page_view,120.211.32.29,products,,,,47bda177-093,2026-01-19T17:38:54.735131Z,212dc8b3
Chrome,South Hannahberg,CY,tablet,,07f88168-911f-4c46-a049-6e4e704d3b9c,login,5.210.237.117,help,,,,1e28fee3-ddb,2026-01-19T17:38:54.742943Z,0e51b668
Firefox,West Jamesland,AT,tablet,,c8400a33-7224-4b7f-9ac6-705b0e94db86,page_view,31.149.152.5,home,,,,6736fc38-f30,2026-01-19T17:38:54.754408Z,8df2ad9b
Edge,Garciatown,GM,mobile,,cf434451-8e24-4602-8c35-a6225346e617,remove_from_cart,206.11.75.105,settings,PROD_1119,3,,37fd3bcd-83f,2026-01-19T17:38:54.783007Z,307988e1
Firefox,Martinshire,TV,desktop,,a8b262ba-8eb4-47b4-a4b5-bd864d6a3973,page_view,215.165.31.85,cart,,,,2b6e3f1d-dff,2026-01-19T17:38:54.788334Z,ad1e9583
Chrome,North Brandon,NR,tablet,,d16c6bf1-160e-487c-a2de-b4ae01e9ac22,page_view,122.189.39.5,products,,,,cfac74b6-5a7,2026-01-19T17:38:54.807605Z,ca9d8d8d
Chrome,Parkerview,TV,desktop,,aca6db00-10d1-4f28-bc03-88a9c0cbf463,login,124.118.162.246,profile,,,,57905c8c-a12,2026-01-19T17:38:54.820741Z,dce2b34a
Edge,Kimberlyport,SO,desktop,,22498af4-a1f6-4225-8ebc-964a565a2a42,page_view,167.47.43.123,settings,,,,15b15e9c-766,2026-01-19T17:38:54.827177Z,07c8d721
Edge,New Jameston,MH,desktop,,ee1f3bf8-8c84-4f4b-b823-8a199f460b6f,add_to_cart,149.165.115.180,product_detail,PROD_1395,3,,94ac5b02-0bf,2026-01-19T17:38:54.873605Z,60655d0a
Chrome,West Philip,SL,desktop,,8ba8be2a-4da2-4906-828b-580517b2b20b,add_to_cart,5.8.54.228,cart,PROD_1796,2,,a2f80bde-20c,2026-01-19T17:38:54.907543Z,e48521c0
Chrome,Riveramouth,MV,desktop,,e6091372-ce82-43ed-bab8-7bfc74fcd86b,remove_from_cart,209.252.120.194,home,PROD_2479,3,,99e93782-363,2026-01-19T17:38:54.921593Z,72e04900
Edge,Reginastad,UG,mobile,,96e883bc-84cb-4481-a352-cd8ac4a31df1,add_to_cart,10.118.16.174,home,PROD_2171,4,,c43abf32-3bd,2026-01-19T17:38:54.927996Z,c5e7660f
Safari,Jessicaland,CY,tablet,,16d1649d-ecd6-404b-8370-37e745798b05,search,75.59.172.45,settings,,,five,3cf4c59c-d6b,2026-01-19T17:38:54.931647Z,e700284a
Firefox,New Lisahaven,NE,desktop,,8e933265-fa00-4997-ba3a-f43803e5911f,logout,67.115.46.124,home,,,,ab9d7f2b-b88,2026-01-19T17:38:55.102684Z,692b7e53
Safari,Port Ethan,BG,desktop,,b7b28b78-1860-414c-ab50-8741b11ebfe0,add_to_cart,96.28.225.74,profile,PROD_2899,1,,c623bc06-281,2026-01-19T17:38:55.147594Z,0e51b668
Firefox,Port Aprilfurt,TT,tablet,,b5a2a6ad-5841-4fd6-a755-f5f9a88dcaf6,search,29.252.108.172,products,,,hit,6bb9045c-ee9,2026-01-19T17:38:55.167949Z,4f955851
Safari,Brandonchester,ZM,tablet,,4f5a56c7-e399-418f-a3b1-4ca18666177f,remove_from_cart,92.81.96.32,help,PROD_1197,5,,34d8d4c0-ec6,2026-01-19T17:38:55.235882Z,d72c8c94
Firefox,Margaretside,PH,mobile,,d3dfcb71-cb77-4316-8abf-779f64c3009a,add_to_cart,63.73.84.192,settings,PROD_2872,5,,fb796ff0-ca6,2026-01-19T17:38:55.243137Z,de44e379
Chrome,Gregorymouth,TT,tablet,,8d5afccc-4579-4685-8529-20b1ef845feb,page_view,51.117.152.141,help,,,,c40c8c23-718,2026-01-19T17:38:55.276985Z,73a71492
Edge,Lake Isabellaland,VC,mobile,,c88573de-aab8-41d5-bb8e-88a49d78e556,search,51.178.158.233,profile,,,include,3c8cd205-5d3,2026-01-19T17:38:55.282485Z,c5a9efc3
Edge,Port Brianland,KI,desktop,,7f3941c4-92b3-4a42-973b-a8107ff6563d,add_to_cart,103.91.87.31,settings,PROD_2057,5,,354caa1f-e11,2026-01-19T17:38:55.288758Z,da6764fe
Firefox,East Michaelland,MX,desktop,,773f3196-3f9a-476c-8d75-56e6fdba8f9e,search,39.199.94.38,profile,,,to,3e7491ed-479,2026-01-19T17:38:55.317846Z,809ae1a1
Chrome,Deborahshire,YE,desktop,,193d83d0-6f31-40db-a3ea-d7a5a61e836e,search,173.153.216.212,profile,,,baby,68da20d5-c2c,2026-01-19T17:38:55.349298Z,dce2b34a
Safari,Gardnerberg,KW,desktop,,7a179b36-d306-4621-a077-fc0ce19f26e8,add_to_cart,200.172.155.99,checkout,PROD_2492,2,,189ec0c6-8a5,2026-01-19T17:38:55.358217Z,50264ab2
Safari,Kathleenhaven,JP,desktop,,0403c026-ee8d-43f5-b219-fe55ea2de843,add_to_cart,175.126.208.140,product_detail,PROD_2124,3,,ec7e9ad3-920,2026-01-19T17:38:55.374405Z,e5987094
Safari,Patrickhaven,CY,desktop,,e5738adf-b86d-40b6-abe0-514a68a52d69,login,40.238.110.178,settings,,,,0ebdef16-5fe,2026-01-19T17:38:55.377975Z,f7b4b071
Chrome,Frankchester,LA,desktop,,7891f46d-49c0-4fb8-9482-2527cab09da7,remove_from_cart,7.98.187.220,home,PROD_2661,1,,e0431ed4-e15,2026-01-19T17:38:55.415048Z,9909f89e
Edge,Olsonton,CV,mobile,,4b8fcef7-9aa9-45a4-9658-20c60067ff96,add_to_cart,104.178.234.16,help,PROD_1259,2,,a5cac80d-ecf,2026-01-19T17:38:55.458687Z,c5e7660f
Safari,West Tylerchester,ML,desktop,,a48a6623-4292-4648-9239-ce83e6c4c921,login,117.12.194.37,profile,,,,7b864ef6-cde,2026-01-19T17:38:55.498806Z,169006e0
Edge,Adamfort,KE,desktop,,e786ac45-a904-40fd-ba45-b3a56a462186,add_to_cart,27.202.133.69,product_detail,PROD_1145,1,,3479228b-0f7,2026-01-19T17:38:55.553389Z,aa10b399
Chrome,Baileyshire,LU,mobile,,5a2eedef-16c6-4b8a-91e6-09bfa72a3da5,page_view,62.38.144.246,help,,,,0bec5e6b-61f,2026-01-19T17:38:55.556983Z,a8a89d0f
Edge,South Jaredburgh,ML,tablet,,ad32912e-e6fe-48a4-aea9-05346bf22f5d,remove_from_cart,76.108.142.20,product_detail,PROD_2554,3,,3d475b3b-2af,2026-01-19T17:38:55.565873Z,de44e379
Chrome,South Bruceborough,CH,desktop,,43d32631-f553-4ae0-a68f-0b9a6e56fed5,login,136.19.237.65,products,,,,630af1c8-4d3,2026-01-19T17:38:55.578796Z,ca9d8d8d
Firefox,West Melissa,TZ,desktop,,be3dc874-39bb-4326-b8a3-b955c80959b1,page_view,214.90.21.202,checkout,,,,3222a879-ef8,2026-01-19T17:38:55.590610Z,47d865f9
Safari,Jenniferton,SR,desktop,,d676270a-6b51-441d-b4e9-982e9d93933b,add_to_cart,144.74.237.38,product_detail,PROD_2587,4,,f17d5fe1-d1c,2026-01-19T17:38:55.602136Z,43a360ca
Firefox,East Edwardfurt,LS,mobile,,7c09e98a-ce08-4470-aaf9-9e3151eaa2b5,page_view,199.181.33.55,checkout,,,,77b038df-bb1,2026-01-19T17:38:55.635074Z,53df219b
Edge,Browntown,PK,mobile,,b072706a-182a-4ef9-a955-e1c3680ee81e,add_to_cart,162.20.37.48,help,PROD_1396,4,,74644ad2-7d5,2026-01-19T17:38:55.646201Z,72ddd54d
Firefox,New Angela,CH,desktop,btn_administration_31,c13c248d-1b67-4747-a923-57ea61bb4f6e,click,108.11.215.110,home,,,,a3f87bc7-0bd,2026-01-19T17:38:55.650536Z,60655d0a
Safari,West Tina,MY,desktop,,76094eb1-90bf-49e8-8268-c0d0f9b936b7,page_view,190.8.88.117,profile,,,,2e92f7d1-bb2,2026-01-19T17:38:55.671621Z,655aeee0
Edge,Emmaland,ZM,mobile,,dccaace5-64b1-4cc2-9ed7-ed3f5317f1e4,search,186.73.222.92,product_detail,,,time,61940b7a-ed0,2026-01-19T17:38:55.694934Z,da5a7910
Chrome,Manningfort,KI,desktop,,324f0565-54c6-4e15-9195-ac7e9ca3a87d,page_view,19.186.136.41,profile,,,,4d8ed98f-7a9,2026-01-19T17:38:55.722974Z,4d7906d9
Firefox,Jerrytown,GN,desktop,,7105910e-a6c0-4f51-9eaa-667587f39d90,add_to_cart,176.46.134.63,cart,PROD_2224,3,,eb5bb7ea-fec,2026-01-19T17:38:55.729709Z,9e2f4818
Chrome,Lake Chelseaburgh,SA,mobile,,e3089103-dd84-4a72-8c8f-02611ac2831e,remove_from_cart,14.99.33.194,profile,PROD_2468,5,,5d2d98bf-233,2026-01-19T17:38:55.732570Z,e41d2750
Chrome,Whiteberg,CU,mobile,,78c5186b-33f2-44ad-8d1f-8e3ad03eb2fd,search,189.144.62.220,products,,,call,4d3a9366-29a,2026-01-19T17:38:55.736331Z,0fca3ebb
Firefox,Alexanderview,WS,mobile,btn_simple_91,fb35debd-eb45-4ef8-80a9-13ba94452c30,click,39.106.33.107,checkout,,,,2a61df32-4e9,2026-01-19T17:38:55.741532Z,f83ed991
Safari,New Traceystad,IN,mobile,,1abb07c7-7f67-4e50-b046-cc22d9d2d7f3,add_to_cart,21.24.254.182,help,PROD_1652,1,,bb484c6c-bf8,2026-01-19T17:38:55.744196Z,9614b722
Chrome,Brianbury,NL,mobile,,16b81ece-f186-4e97-83a8-d5f478286c18,add_to_cart,109.35.241.129,profile,PROD_2832,3,,b15f6879-b82,2026-01-19T17:38:55.765843Z,c292c17d
Edge,Sandersville,PW,tablet,,a3c67f36-e041-4bbf-a97e-c2cb1274bb95,logout,28.144.191.127,products,,,,49bc4984-21b,2026-01-19T17:38:55.767734Z,e31f2276
Firefox,New Sandraview,CV,tablet,,e6548e7b-1c22-4a74-805f-9234171754d7,search,108.248.110.25,product_detail,,,reduce,ddf39971-03a,2026-01-19T17:38:55.776788Z,b7109268
Firefox,Mooreview,MG,desktop,,3736f219-89e2-4c80-9b6f-ae9b877de8cc,page_view,65.185.191.91,checkout,,,,472c1010-e5c,2026-01-19T17:38:55.798240Z,c9edd775
Safari,South Michaelland,AF,mobile,,393381eb-99e7-4e91-b154-d9a97623d39c,page_view,143.215.222.231,products,,,,74e470c1-26d,2026-01-19T17:38:55.805717Z,307988e1
Chrome,South Joshua,AT,tablet,,243eff53-a66d-4d89-9aad-8649f9195e0e,remove_from_cart,157.96.175.75,profile,PROD_2611,3,,c701a0b3-a61,2026-01-19T17:38:55.861630Z,2ef310b9
Edge,Lake Victor,MR,desktop,,3de64285-c9b3-4489-b456-59d5a0a42628,page_view,75.102.64.238,profile,,,,98366a93-994,2026-01-19T17:38:55.866315Z,06066a8f
Edge,Johnsonbury,DK,mobile,,327d753f-67d4-4bcf-b649-1154a017c32d,page_view,85.166.226.53,products,,,,bf0fb400-aa1,2026-01-19T17:38:55.892446Z,f843c001
Safari,South Deborahport,ME,desktop,,3ddd718f-dd11-402f-b0e1-46edcfb43223,remove_from_cart,55.116.32.6,help,PROD_1188,3,,19e831f6-c01,2026-01-19T17:38:55.900040Z,3f4c13f1
Firefox,Petersville,FM,desktop,,a86f472d-a3b9-4210-805c-0bda93a60dd1,page_view,82.200.38.161,products,,,,b07c12a1-7cd,2026-01-19T17:38:55.927122Z,400f8d8c
Edge,South Jonathantown,RS,mobile,,98a01d55-1c4d-414e-b8f4-8fb68d3e658c,page_view,108.4.35.177,help,,,,7a478ab6-f10,2026-01-19T17:38:55.941736Z,72e04900
Chrome,Garzafurt,AD,desktop,,f65beac3-76a7-40f0-a260-f811dc31f05f,remove_from_cart,56.24.40.97,products,PROD_1128,1,,626ca06f-dd9,2026-01-19T17:38:55.950602Z,a8a89d0f
Safari,Bryanview,PA,mobile,,971dba9c-70b9-446a-931f-33719058fb4f,search,184.154.210.235,profile,,,task,f02199d4-0cc,2026-01-19T17:38:55.956526Z,a7866421
Chrome,Danielport,DE,tablet,,e005fefc-6ae0-4c4b-b9ca-a6794bd3c7c8,login,109.67.86.38,products,,,,f1c4a67a-cfb,2026-01-19T17:38:55.987469Z,0983ee71
Chrome,Sharonstad,WS,mobile,,aed03f4b-3b53-4f5c-bf85-202845b15985,login,151.152.80.32,products,,,,a8026cba-0ae,2026-01-19T17:38:55.993722Z,a496d543
Firefox,Lake Ashley,PS,desktop,,2f708e30-850b-412b-9032-d257ecd24b81,add_to_cart,3.47.93.246,settings,PROD_1587,3,,da3b0928-e5e,2026-01-19T17:38:55.999370Z,af7dcf05
Firefox,Walshview,SI,mobile,,c8a05d82-d584-42de-9954-982a519fce89,page_view,117.155.72.76,profile,,,,8f059ec2-36f,2026-01-19T17:38:56.007381Z,d72c8c94
Edge,Andreastad,ZM,mobile,,e8f1608e-7d78-483e-a1b2-68ee4f8ff1a0,add_to_cart,96.193.189.133,help,PROD_1007,4,,ed23b0ff-ac4,2026-01-19T17:38:56.010978Z,cd7ebe52
Firefox,Davishaven,HN,desktop,,816bab85-1a6f-4914-8d87-e5c0b246c2a1,remove_from_cart,67.150.81.180,product_detail,PROD_1003,5,,8fefa878-361,2026-01-19T17:38:56.014960Z,747f720b
Chrome,Port Christopherchester,SI,mobile,,0f8a640b-2b3c-4a67-a439-20b5a140d5d1,search,197.79.141.116,product_detail,,,catch,672f73b1-d1e,2026-01-19T17:38:56.029355Z,b1722085
Edge,Port Amanda,SM,mobile,,a7acfccc-cc99-4926-b041-2ec9b176ea2b,search,205.62.132.136,help,,,resource,9bcab742-c3d,2026-01-19T17:38:56.032356Z,72ada20d
Safari,Munozshire,DO,tablet,,94bdcb38-02b4-4b40-b9f4-ffcc644fa878,page_view,114.67.30.196,settings,,,,2b96bb03-a6c,2026-01-19T17:38:56.037578Z,5107472d
Safari,South Brianshire,IN,mobile,btn_air_81,d6524bd3-bf7e-4d77-a2ca-c60cec2a1212,click,115.104.169.7,help,,,,5024ea95-a73,2026-01-19T17:38:56.041505Z,4898af9b
Firefox,South Amandaview,CN,tablet,,778d6f34-2b66-4db0-8993-22d9659f2ec1,page_view,22.146.241.240,checkout,,,,3f0c4ffc-983,2026-01-19T17:38:56.054614Z,31f8c62e
Edge,New Erichaven,SK,desktop,,c5db55c9-c2fb-49a7-9cac-543a03a7a06b,login,216.26.230.231,settings,,,,ed8cb2e0-9f8,2026-01-19T17:38:56.058575Z,9614b722
Chrome,New Stephen,VE,desktop,,42ed8e25-ae04-4357-b1ed-024f5353732d,add_to_cart,1.163.161.25,settings,PROD_2603,5,,1c33abcc-5d4,2026-01-19T17:38:56.092233Z,a7866421
Edge,North Audrey,RO,mobile,,977d169b-64d0-4153-93ff-4fdc7989f46d,search,87.220.219.99,checkout,,,piece,77ef17f4-e86,2026-01-19T17:38:56.144868Z,597d93ab
Safari,New Rebecca,TZ,mobile,,d65f70d6-1357-4dcb-94d7-2eb9479c6f09,remove_from_cart,206.19.141.132,home,PROD_2762,4,,531e911c-183,2026-01-19T17:38:56.174610Z,12df721b
Safari,Port Katherine,SC,desktop,,875eda40-f210-41e6-8338-c8fa943f458d,page_view,161.96.199.83,product_detail,,,,1fc8c2f0-16e,2026-01-19T17:38:56.182123Z,857785a3
Chrome,West Seantown,MV,mobile,,eb786fe4-0b0f-449c-9964-a8510b8e2eaa,page_view,152.144.10.180,products,,,,47f158ba-935,2026-01-19T17:38:56.189794Z,cb23b6da
Chrome,Mcclurehaven,TZ,tablet,,c0213f1f-10f1-4c04-9b55-32be187259ba,add_to_cart,222.136.208.100,help,PROD_1086,3,,6c916e9f-c72,2026-01-19T17:38:56.238828Z,0e51b668
Firefox,West Kevinport,NE,mobile,,780f03c1-9dab-4ecf-a11b-701c18685884,remove_from_cart,147.195.237.122,product_detail,PROD_2228,4,,f78346e5-705,2026-01-19T17:38:56.243010Z,ca9d8d8d
Safari,Wyattport,MX,mobile,,48677e3b-3797-417c-9c6d-e6e88cb947c2,remove_from_cart,136.130.50.226,home,PROD_1297,4,,ee59bb2b-dc1,2026-01-19T17:38:56.249799Z,c1864315
Edge,Castillomouth,TR,tablet,,13aec29b-911c-4040-a503-22d29bc4422d,remove_from_cart,166.186.192.39,products,PROD_2064,1,,1ff3ec99-6f9,2026-01-19T17:38:56.253161Z,3982940f
Safari,Milesland,BG,desktop,,d08ec5c0-93da-4fb2-bbb8-28390215ce0f,page_view,182.233.113.198,product_detail,,,,c3110aea-669,2026-01-19T17:38:56.275061Z,47e6d7dc
Chrome,Garrettmouth,FI,desktop,,c318be80-70e2-4531-aa22-288dae47b86e,login,164.21.100.197,cart,,,,f589f627-f71,2026-01-19T17:38:56.279196Z,77b6f2ab
Firefox,Lake Jesse,RO,mobile,,18d3b7d9-d843-4b34-9024-27b87d235ed3,search,23.124.193.75,profile,,,think,1892fb15-13a,2026-01-19T17:38:56.286101Z,7b327a15
Edge,Jamestown,NG,mobile,,7f328edd-ff36-4406-97bf-067b828b1c21,remove_from_cart,37.178.50.171,product_detail,PROD_2589,4,,0d9140a4-c4b,2026-01-19T17:38:56.301236Z,cb2e7dd1
Safari,Brettborough,BN,desktop,,ab11e07e-510c-4858-a984-b66bed90f4be,page_view,64.22.141.76,profile,,,,3be10ab8-900,2026-01-19T17:38:56.306603Z,c1194419
Edge,Gloverstad,LY,desktop,,63a88616-c43c-493d-bd11-2013754de7d5,remove_from_cart,76.179.207.12,checkout,PROD_2084,2,,a7a52025-f1b,2026-01-19T17:38:56.328566Z,3a79c76f
Chrome,Jasonborough,PL,tablet,,822a599a-fd73-41aa-8e60-52117390dc28,page_view,10.227.34.38,product_detail,,,,c22c1d7a-f84,2026-01-19T17:38:56.344740Z,b9cd5aeb
Firefox,Lake Adamfort,GR,mobile,btn_clearly_56,8cbc22be-6471-419a-ace0-4195b3b64c38,click,43.110.191.144,cart,,,,3b80d010-9a5,2026-01-19T17:38:56.352812Z,8f3377f1
Chrome,Traciport,IL,tablet,,dd033b2d-7b78-45ef-b5e5-320478cca20b,page_view,24.110.8.166,profile,,,,3bd5bf67-88e,2026-01-19T17:38:56.364867Z,7df2f691
Chrome,South Michaelview,PT,mobile,,3844d732-5690-4526-b0e9-3c75d191a0ff,logout,30.47.199.10,checkout,,,,3e0fe7e6-b93,2026-01-19T17:38:56.373533Z,5ea13e73
Edge,Port Russell,SI,mobile,,807ff04e-ae2a-4865-9058-8d3d69a3e903,add_to_cart,21.37.192.53,checkout,PROD_2962,5,,32cb7bea-5d2,2026-01-19T17:38:56.384160Z,6116b77c
Firefox,New Trevormouth,BF,tablet,,d84aa451-1b84-41ea-a7de-8ab2cdcf9b2a,add_to_cart,14.45.95.241,cart,PROD_2478,5,,9d2c180f-93d,2026-01-19T17:38:56.392747Z,0e51b668
Chrome,Lake Kimburgh,IS,tablet,btn_imagine_40,2cbfd0cc-d918-409f-9524-ff4590852d89,click,4.219.9.104,settings,,,,15ffebd2-1dc,2026-01-19T17:38:56.405482Z,9d3857d6
Chrome,Eduardoside,PE,desktop,,0bedf39b-7b57-498f-a6d7-8adcf9a9447c,add_to_cart,191.160.68.243,cart,PROD_2783,5,,e271a643-566,2026-01-19T17:38:56.432554Z,73a71492
Firefox,New Michelle,GY,tablet,,f5c24a70-4465-476f-af4a-9c139be824cf,page_view,119.176.188.98,profile,,,,0167b57b-41d,2026-01-19T17:38:56.439372Z,8ac74862
Chrome,Grahamberg,KI,desktop,,4bb991b9-2e6c-4c30-a033-e8f0b4e61c11,login,105.247.228.172,settings,,,,ee64be9e-401,2026-01-19T17:38:56.491862Z,f9ed5b7e
Edge,East Debbietown,KR,mobile,,25e85978-e256-4c6e-9e09-b6abe187b55b,add_to_cart,71.133.206.145,home,PROD_2899,2,,da5de865-c04,2026-01-19T17:38:56.529906Z,a567eb26
